GEOID,TOTAL_SGA,ADU,AEO,FBC,GBO,MMCP,OM,SHARE_PARK,TND,TOD,TRANS,CSO,PARK_RES,SUS_JERS,PARK_FEE
4209100156,3,0,0,0,1,0,0,1,0,0,0,0,1,0,0
4204500676,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0
4209102264,4,1,0,0,0,0,0,1,0,1,0,0,1,0,0
4204503336,4,1,1,0,0,1,0,1,0,0,0,0,0,0,0
4202903384,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0
3400702200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400702230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4202903656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400703250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400503370,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4201704976,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3400704750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4201705616,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3400705440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400705470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4204506024,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3400505740,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4202906544,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
3400506670,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0
3400506700,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4209108568,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0
4201708592,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4201708760,4,0,1,0,0,0,0,1,0,0,0,0,1,0,1
4201708768,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0
4204509080,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3400708170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4209109696,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4201709816,5,1,1,0,0,0,0,1,1,0,0,0,1,0,0
3400508920,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3400508950,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4202910824,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0
3400710000,5,0,1,0,1,0,0,0,0,1,0,1,0,1,0
4204512442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4201712504,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0
4202912744,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0
4209112968,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3400712280,3,0,0,0,0,0,0,1,0,0,0,1,0,1,0
3400712550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4204513208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4204513232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4204513212,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3400512670,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3400512940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3401513360,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3400713420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4204514264,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4202914712,3,0,0,0,0,0,0,1,1,0,0,0,1,0,0
4209115192,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0
4204515232,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3400714260,3,0,0,0,0,0,0,0,0,1,1,0,0,1,0
4204515432,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0
4204515488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4209115848,3,0,0,0,0,0,0,1,0,1,0,0,1,0,0
4204518152,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0
4204518160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400517080,4,0,0,0,0,0,1,1,1,1,0,0,0,0,0
3400517440,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0
3401517710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4209119672,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0
4202919752,6,0,1,0,0,0,0,1,1,1,0,0,1,0,1
4201719784,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0
4201719792,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0
4201720104,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0
4201720480,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4202920824,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0
4202920864,3,0,0,0,0,0,1,1,0,0,0,0,1,0,0
4202920920,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4202921008,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0
4202921104,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4202921192,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0
4209121200,5,1,1,0,0,1,0,1,0,0,0,0,1,0,0
3401519180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4204521384,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4202921480,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0
4202921576,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0
4209121600,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4202921624,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4202921696,5,1,0,0,0,1,0,1,1,0,0,0,1,0,0
4201721760,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0
4202922000,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0
4202922056,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0
3402119780,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0
3400518790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4202921928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4204522296,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3400520050,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4204522584,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0
3401521060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4202923032,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0
4202923440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400522110,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3402122185,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4201725112,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0
3400523250,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3400523850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4204526408,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4209127280,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0
3401524840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4202927376,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3400726070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3401526340,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0
4204529720,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3400726820,3,0,0,0,0,0,0,1,0,0,0,0,1,0,1
3400726760,3,0,0,0,0,0,0,1,0,0,0,1,0,1,0
4209131088,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0
3401528185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400728800,6,0,0,1,0,0,1,0,1,0,0,1,1,1,0
3400728740,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3400728770,4,0,0,1,0,0,0,1,0,0,0,0,0,1,1
3400529010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3402129310,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3401530180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4209133088,3,0,0,0,0,0,0,1,0,1,0,0,1,0,0
4209133112,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4209133120,5,0,1,0,1,0,0,1,0,1,0,0,1,0,0
4204533144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4201733224,4,1,1,0,0,1,0,0,0,0,0,0,1,0,0
3400732220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4202934448,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0
3402131620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4201734952,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0
4202935528,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0
4202935536,5,0,0,0,1,0,1,1,1,0,0,0,1,0,0
3402133150,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3402133180,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0
4209135808,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4201736192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4201737304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4209138000,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0
4202939352,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0
4202939344,4,0,1,0,0,0,1,1,0,0,0,0,1,0,0
4201741392,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0
4201741416,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4209141432,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0
4204541440,5,0,0,1,0,1,0,1,1,1,0,0,0,0,0
3400739210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400739420,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3402139510,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0
4209143312,5,1,0,0,1,0,1,1,0,0,0,0,1,0,0
3400740440,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3401541160,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4202944440,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0
4202944480,4,0,1,0,0,1,1,0,1,0,0,0,0,0,0
4202944456,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0
4204544888,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4209144912,5,1,1,0,0,1,0,1,0,0,0,0,1,0,0
4209144920,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0
4201744968,6,0,1,0,1,0,1,1,1,0,0,0,1,0,0
4209144976,5,1,0,0,0,0,1,1,0,1,0,0,1,0,0
4209145008,8,1,1,0,1,0,1,1,1,1,0,0,0,0,1
4202945040,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0
4209145072,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
4209145080,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0
4209145096,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0
4201745112,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3400542060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400742630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4202946792,4,1,0,0,0,0,0,1,0,1,0,0,0,0,1
3400543290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3401543440,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3400543740,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4204547344,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4209147592,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0
4204547616,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3400545210,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3400545120,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4204548480,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3400745510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4204549136,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0
4201749120,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0
4201749384,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0
4204549504,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4202950232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3401547250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4209150640,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0
3400547880,3,0,0,0,0,0,1,1,0,0,0,0,0,1,0
4201751144,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4204551176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400748750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400548900,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0
3400549020,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4209152664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3401549680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4204553104,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4201753296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4201753304,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0
4202953608,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4209153664,5,1,0,0,0,1,0,1,1,0,0,0,1,0,0
3400551510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4201753712,4,1,0,0,0,0,0,1,1,0,0,0,0,0,1
4202953816,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0
3401551390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4202953784,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0
4201754184,5,0,1,0,0,0,0,1,1,0,0,0,1,0,1
4201754192,5,1,1,0,0,1,0,1,0,0,0,0,1,0,0
4204554224,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4201754576,4,1,1,0,0,0,0,1,0,0,0,0,1,0,0
4209154656,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0
4202954936,5,0,1,0,0,1,0,1,1,0,0,0,1,0,0
3400553070,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4209155512,4,1,0,0,0,0,0,1,0,1,0,0,1,0,0
4201754688,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0
4204555664,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3400753880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4202957480,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0
3400555800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4202958032,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4204558176,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3401557150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400557480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400557510,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
4202958808,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0
4201758936,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3402157600,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3400757660,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0
4209159120,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0
4202959136,4,1,1,0,0,0,0,0,1,0,0,0,1,0,0
4201759384,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0
4209159392,4,0,1,0,0,1,0,1,0,0,0,0,1,0,0
4210160000,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0
4202960120,6,1,0,1,0,1,0,1,1,0,0,0,1,0,0
3400758770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400758920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3401559070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4201761616,4,1,1,0,0,0,0,1,0,0,0,0,1,0,0
4209161664,6,1,1,0,0,0,0,1,1,1,0,0,1,0,0
4202961800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4209162416,5,0,1,0,0,1,0,1,0,1,0,1,0,0,0
3402160900,3,0,0,0,0,0,0,0,0,1,0,1,0,1,0
4204562792,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0
4201763048,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0
4204563264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4209163808,4,0,1,0,0,1,0,1,0,0,0,0,1,0,0
4201764536,5,1,1,0,0,1,0,1,0,0,0,0,1,0,0
4201764584,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0
4204564832,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4204564800,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4201764856,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3400563510,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3400563660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3402163850,6,0,0,1,1,0,0,1,1,0,0,1,1,0,0
4209165568,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0
4204566192,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4209166576,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0
3400765160,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4204566928,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4202967080,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0
4209167528,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0
4202968288,4,0,1,0,0,1,0,1,0,0,0,0,1,0,0
4209168328,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0
4201769248,3,0,0,0,0,0,1,1,0,0,0,0,1,0,0
3400566810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4204569752,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0
4201770744,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0
4209171016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4201771752,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0
3400768340,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4209171856,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0
4202972072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4202972088,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0
3401569030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400568610,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4202972920,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0
4201773016,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3400569990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4204573032,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0
4209173088,5,1,0,0,1,0,1,1,0,0,0,0,1,0,0
3400771220,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4204575648,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3401571850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400572060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400772240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4201776304,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0
4209176304,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0
4204576576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4202976568,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
4204576792,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4201776784,4,1,0,0,0,0,0,1,1,0,0,0,1,0,0
4209177152,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0
4204577288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4209177304,5,1,0,0,0,1,1,1,1,0,0,0,0,0,0
4202977344,6,1,0,0,1,0,0,1,1,1,0,0,0,0,1
3402174000,3,0,0,0,1,0,0,0,0,0,0,1,0,1,0
4201777704,4,1,0,0,0,1,0,1,0,0,0,0,1,0,0
4201777744,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4204578712,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4204578776,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0
4204579000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4209179008,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0
4209179040,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0
4209179056,4,1,0,0,0,0,0,1,0,1,0,0,1,0,0
4209179064,4,0,1,0,0,1,0,1,0,0,0,0,1,0,0
4201779128,5,1,1,0,0,1,0,1,0,0,0,0,1,0,0
4209179136,3,0,0,0,0,0,0,1,0,0,0,1,1,0,0
4209179176,6,0,0,0,1,0,1,1,1,1,0,0,1,0,0
4202979208,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0
4209179240,4,0,0,0,0,1,0,1,1,0,0,0,1,0,0
4209179256,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4204579248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4209179280,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0
4201779296,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0
4202979352,4,0,1,0,0,0,1,1,0,0,0,0,1,0,0
4202979480,5,0,1,0,0,0,1,1,1,0,0,0,1,0,0
4202979544,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3400776220,4,0,0,0,0,0,0,1,1,0,0,0,1,1,0
4202980616,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0
4201780952,4,0,1,0,0,0,0,1,0,1,0,0,1,0,0
4201781048,4,1,1,0,0,0,0,1,0,0,0,0,1,0,0
4202981160,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0
4201781144,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0
3400577150,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3401577180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400777630,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3401578110,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4202982544,4,0,1,0,0,0,1,1,1,0,0,0,0,0,0
4202982576,3,0,0,1,0,0,0,1,1,0,0,0,0,0,0
4202982664,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0
4202982704,4,0,0,0,1,0,0,1,1,0,0,0,1,0,0
4209182736,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0
3401578800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4202982936,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0
4202983080,4,0,1,1,0,0,0,1,0,0,0,0,1,0,0
4202983104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4202983464,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0
4202983664,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0
4209183696,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0
4202983712,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0
4202983832,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0
4209183912,4,0,1,0,0,1,0,1,0,0,0,0,1,0,0
4201783960,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4202983968,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0
4202984160,7,1,1,0,0,1,1,1,1,0,0,0,1,0,0
4202984192,4,0,1,0,0,0,1,0,0,1,0,0,1,0,0
3402180240,5,0,0,0,0,0,0,0,0,1,1,1,1,1,0
3400578200,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4202984104,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0
3401580120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4209184624,7,1,1,0,0,0,1,1,1,1,0,0,1,0,0
4209184888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400581440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4202985352,5,0,1,0,0,0,1,1,0,1,0,0,1,0,0
3400781740,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3401582120,5,1,0,1,0,0,1,0,1,0,0,1,0,0,0
3401582180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400582420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400782450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3401582840,6,1,0,1,1,0,0,1,1,0,0,1,0,0,0
4209186496,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0
3400582960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4201786624,5,1,1,0,0,1,0,1,0,0,0,0,1,0,0
4201786920,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4204586968,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
